Sun Aug 11 11:44:43 2024,19.0,37.0,6.9306930693069315,27.0,6.0,69.28988856720235
Sun Aug 11 11:44:45 2024,10.050251256281408,34.0,3.0303030303030303,1.0,1.0101010101010102,69.22306146782029
Sun Aug 11 11:44:47 2024,10.050251256281408,32.98969072164948,3.9215686274509802,2.9702970297029703,2.9702970297029703,69.20442775223754
Sun Aug 11 11:44:49 2024,11.809045226130653,33.6734693877551,2.0,6.0606060606060606,6.0,69.21054628571247
Sun Aug 11 11:44:51 2024,30.05050505050505,47.474747474747474,30.303030303030305,22.0,19.387755102040817,69.1259992776952
Sun Aug 11 11:44:53 2024,25.757575757575758,42.42424242424242,39.39393939393939,11.11111111111111,11.0,69.16843170465124
Sun Aug 11 11:44:55 2024,33.50125944584383,48.484848484848484,44.0,10.309278350515463,31.0,69.3335923777376
Sun Aug 11 11:44:57 2024,17.5,35.714285714285715,28.999999999999996,2.0,3.0,69.29127914299211
Sun Aug 11 11:44:59 2024,16.791979949874687,36.0,28.000000000000004,1.9801980198019802,2.0408163265306123,69.24952213856254
Sun Aug 11 11:45:01 2024,11.809045226130653,32.6530612244898,11.11111111111111,1.9801980198019802,1.9801980198019802,69.24531068045641
Sun Aug 11 11:52:34 2024,10.606060606060606,33.33333333333333,1.0101010101010102,1.0101010101010102,7.8431372549019605,60.37880079127736
Sun Aug 11 11:52:36 2024,10.776942355889723,34.0,3.0303030303030303,4.040404040404041,2.0202020202020203,60.35003573779779
Sun Aug 11 11:52:38 2024,22.25,42.42424242424242,22.22222222222222,6.122448979591836,15.306122448979592,60.370854643907315
Sun Aug 11 11:52:40 2024,21.518987341772153,38.775510204081634,30.612244897959183,8.080808080808081,9.0,60.30172316178793
Sun Aug 11 11:52:42 2024,21.85929648241206,39.39393939393939,33.0,8.080808080808081,8.91089108910891,60.21431554071744
Sun Aug 11 11:52:44 2024,20.40302267002519,38.144329896907216,27.55102040816326,7.07070707070707,6.0606060606060606,60.293260514838835
Sun Aug 11 11:52:46 2024,19.143576826196472,38.144329896907216,20.0,9.0,9.0,60.44594573655423
Sun Aug 11 11:52:48 2024,9.0,33.33333333333333,1.0,2.0,1.0,60.44515112181722
Sun Aug 11 11:52:50 2024,8.521303258145362,32.6530612244898,0.0,1.0,0.9900990099009901,60.44515112181722
Sun Aug 11 11:52:53 2024,12.34256926952141,35.0,14.14141414141414,1.0101010101010102,1.9801980198019802,60.44463462223817
Sun Aug 11 11:53:02 2024,16.040100250626566,35.35353535353536,23.0,0.0,4.0,60.55643691573468
Sun Aug 11 11:53:04 2024,12.531328320802004,33.33333333333333,14.85148514851485,2.0,1.0,60.55643691573468
Sun Aug 11 11:53:06 2024,9.547738693467336,34.0,1.0,2.0,2.0,60.56394602499937
Sun Aug 11 11:53:08 2024,11.055276381909549,34.34343434343434,3.0303030303030303,3.0,3.0,60.59918718858551
Sun Aug 11 11:53:10 2024,16.666666666666664,36.36363636363637,22.0,5.0,3.061224489795918,60.47542594329709
Sun Aug 11 11:53:12 2024,57.68261964735516,59.183673469387756,39.39393939393939,83.0,47.524752475247524,60.395845277386094
Sun Aug 11 11:53:14 2024,15.0,33.6734693877551,24.242424242424242,0.0,0.9900990099009901,60.44336323865897
Sun Aug 11 11:53:16 2024,15.288220551378446,35.64356435643564,24.242424242424242,1.0,0.0,60.44435650708022
Sun Aug 11 11:53:18 2024,10.526315789473683,32.6530612244898,5.0,1.0,3.0,60.43990666455299
Sun Aug 11 11:57:35 2024,14.86146095717884,35.64356435643564,3.0,20.2020202020202,2.0202020202020203,62.7936747077705
Sun Aug 11 11:57:37 2024,25.563909774436087,45.45454545454545,19.0,20.588235294117645,17.346938775510203,62.47543150560024
Sun Aug 11 11:57:39 2024,21.41057934508816,40.4040404040404,10.1010101010101,23.46938775510204,8.16326530612245,62.13585289774143
Sun Aug 11 11:57:41 2024,21.158690176322416,42.857142857142854,11.224489795918368,17.17171717171717,11.224489795918368,62.049359083618505
Sun Aug 11 11:57:43 2024,14.962593516209477,37.0,5.0,9.0,6.0606060606060606,61.913162117695954
Sun Aug 11 11:57:45 2024,68.01007556675063,68.04123711340206,78.0,57.57575757575758,68.0,63.11986405731079
Sun Aug 11 11:57:47 2024,16.290726817042607,40.0,8.0,8.0,10.1010101010101,63.04870630761206
Sun Aug 11 11:57:49 2024,22.670025188916874,42.2680412371134,14.000000000000002,18.81188118811881,16.0,63.02367594339642
Sun Aug 11 11:57:51 2024,17.38035264483627,39.39393939393939,9.090909090909092,12.0,8.080808080808081,62.99232839202159
Sun Aug 11 11:57:53 2024,17.042606516290725,40.0,9.090909090909092,9.090909090909092,9.900990099009901,62.85672738715179
Sun Aug 11 11:58:21 2024,21.608040201005025,40.816326530612244,11.11111111111111,17.0,15.841584158415841,62.206533878597966
Sun Aug 11 11:58:23 2024,9.774436090225564,33.6734693877551,1.0101010101010102,1.0,2.0,62.115471029737265
Sun Aug 11 11:58:25 2024,8.771929824561402,32.323232323232325,2.0,0.0,1.0,62.03819474656359
Sun Aug 11 11:58:27 2024,8.270676691729323,32.6530612244898,0.0,0.0,0.0,61.99480878192315
Sun Aug 11 11:58:29 2024,9.75,33.33333333333333,2.0202020202020203,1.0,3.9215686274509802,61.94935681896651
Sun Aug 11 11:58:31 2024,8.5,34.0,0.9900990099009901,0.0,0.0,61.94586051412369
Sun Aug 11 11:58:33 2024,9.296482412060302,33.33333333333333,2.0,1.0,1.0,61.95448208402018
Sun Aug 11 11:58:35 2024,8.771929824561402,32.6530612244898,0.9900990099009901,0.0,0.9900990099009901,61.95432316107278
